ncbiID	fullName	rank	parentID
92000298	Acinetobacter baumannii 25766_10	norank	470
92000299	Acinetobacter baumannii 25766_2	norank	470
92000300	Acinetobacter baumannii 25766_3	norank	470
92000301	Acinetobacter baumannii 25766_4	norank	470
92000302	Acinetobacter baumannii 25766_5	norank	470
92000303	Acinetobacter baumannii 25766_6	norank	470
92000304	Acinetobacter baumannii 25766_7	norank	470
92000305	Acinetobacter baumannii 25766_9	norank	470
92000306	Acinetobacter baumannii 25878_1	norank	470
92000307	Acinetobacter baumannii 25878_2	norank	470
92000308	Acinetobacter baumannii 25878_3	norank	470
92000309	Acinetobacter baumannii 25935_1	norank	470
92000310	Acinetobacter baumannii 25935_10	norank	470
92000311	Acinetobacter baumannii 25935_2	norank	470
92000312	Acinetobacter baumannii 25935_4	norank	470
92000313	Acinetobacter baumannii 25935_5	norank	470
92000314	Acinetobacter baumannii 25935_6	norank	470
92000315	Acinetobacter baumannii 25935_7	norank	470
92000316	Acinetobacter baumannii 25935_8	norank	470
92000317	Acinetobacter baumannii 25935_9	norank	470
92000318	Acinetobacter baumannii 25977_9	norank	470
92000319	Acinetobacter baumannii 25C30	norank	470
92000320	Acinetobacter baumannii 26016_1	norank	470
92000321	Acinetobacter baumannii 26016_10	norank	470
92000322	Acinetobacter baumannii 26016_2	norank	470
92000323	Acinetobacter baumannii 26016_3	norank	470
92000324	Acinetobacter baumannii 26016_4	norank	470
92000325	Acinetobacter baumannii 26016_5	norank	470
92000326	Acinetobacter baumannii 26016_6	norank	470
92000327	Acinetobacter baumannii 26016_7	norank	470
92000328	Acinetobacter baumannii 26016_8	norank	470
92000329	Acinetobacter baumannii 26016_9	norank	470
92000330	Acinetobacter baumannii 268680	norank	470
92000331	Acinetobacter baumannii 269	norank	470
92000332	Acinetobacter baumannii 273929	norank	470
92000333	Acinetobacter baumannii 277047	norank	470
92000334	Acinetobacter baumannii 28	norank	470
92000335	Acinetobacter baumannii 280/1C	norank	470
92000336	Acinetobacter baumannii 2887	norank	470
92000337	Acinetobacter baumannii 29280	norank	470
92000338	Acinetobacter baumannii 299505	norank	470
92000339	Acinetobacter baumannii 29D2	norank	470
92000340	Acinetobacter baumannii 29R1	norank	470
92000341	Acinetobacter baumannii 2MG	norank	470
92000342	Acinetobacter baumannii 2RED09	norank	470
92000343	Acinetobacter baumannii 3.5D	norank	470
92000344	Acinetobacter baumannii 303002	norank	470
92000345	Acinetobacter baumannii 314	norank	470
92000346	Acinetobacter baumannii 318814	norank	470
92000347	Acinetobacter baumannii 31D1	norank	470
92000348	Acinetobacter baumannii 3207	norank	470
92000349	Acinetobacter baumannii 323408	norank	470
92000350	Acinetobacter baumannii 3390	norank	470
92000351	Acinetobacter baumannii 339786	norank	470
92000352	Acinetobacter baumannii 34001	norank	470
92000353	Acinetobacter baumannii 341	norank	470
92000354	Acinetobacter baumannii 342950	norank	470
92000355	Acinetobacter baumannii 34654	norank	470
92000356	Acinetobacter baumannii 348935	norank	470
92000357	Acinetobacter baumannii 3909	norank	470
