ncbiID	fullName	rank	parentID
92000244	Acinetobacter baumannii 92000244	norank	470
92000245	Acinetobacter baumannii 92000245	norank	470
92000246	Acinetobacter baumannii 92000246	norank	470
92000247	Acinetobacter baumannii 92000247	norank	470
92000248	Acinetobacter baumannii 92000248	norank	470
92000249	Acinetobacter baumannii 92000249	norank	470
92000250	Acinetobacter baumannii 92000250	norank	470
92000251	Acinetobacter baumannii 92000251	norank	470
92000252	Acinetobacter baumannii 92000252	norank	470
92000253	Acinetobacter baumannii 92000253	norank	470
92000254	Acinetobacter baumannii 92000254	norank	470
92000255	Acinetobacter baumannii 92000255	norank	470
92000256	Acinetobacter baumannii 92000256	norank	470
92000257	Acinetobacter baumannii 92000257	norank	470
92000258	Acinetobacter baumannii 92000258	norank	470
92000259	Acinetobacter baumannii 92000259	norank	470
92000260	Acinetobacter baumannii 92000260	norank	470
92000261	Acinetobacter baumannii 92000261	norank	470
92000262	Acinetobacter baumannii 92000262	norank	470
92000263	Acinetobacter baumannii 92000263	norank	470
92000264	Acinetobacter baumannii 92000264	norank	470
92000265	Acinetobacter baumannii 92000265	norank	470
92000266	Acinetobacter baumannii 92000266	norank	470
92000267	Acinetobacter baumannii 92000267	norank	470
92000268	Acinetobacter baumannii 92000268	norank	470
92000269	Acinetobacter baumannii 92000269	norank	470
92000270	Acinetobacter baumannii 92000270	norank	470
92000271	Acinetobacter baumannii 92000271	norank	470
92000272	Acinetobacter baumannii 92000272	norank	470
92000273	Acinetobacter baumannii 92000273	norank	470
92000274	Acinetobacter baumannii 92000274	norank	470
92000275	Acinetobacter baumannii 92000275	norank	470
92000276	Acinetobacter baumannii 92000276	norank	470
92000277	Acinetobacter baumannii 92000277	norank	470
92000278	Acinetobacter baumannii 92000278	norank	470
92000279	Acinetobacter baumannii 92000279	norank	470
92000280	Acinetobacter baumannii 92000280	norank	470
92000281	Acinetobacter baumannii 92000281	norank	470
92000282	Acinetobacter baumannii 92000282	norank	470
92000283	Acinetobacter baumannii 92000283	norank	470
92000284	Acinetobacter baumannii 92000284	norank	470
92000285	Acinetobacter baumannii 92000285	norank	470
92000286	Acinetobacter baumannii 92000286	norank	470
